unique_id,Benefit,Taxonomic Uniqueness,Feasibility of Success,Year 1 cost,Year 2 cost,Year 3 cost,Year 4 cost,Year 5 cost,Year 6 cost,Year 7 cost,Year 8 cost,Year 9 cost,Year 10 cost,Year  11 cost,Year 12 cost,Year 13 cost,Year 14 cost,Year 15 cost,Year 16 cost,Year 17 cost,Year 18 cost,Year 19 cost,Year 20 cost,Year 21 cost,Year 22 cost,Year 23 cost,Year 24 cost,Year 25 cost,TOTAL COST,,,
1-Flowering Plants-546,0.66,0.67,0.49,58550.25,47101.07,42791.20,7610.93,7535.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163589.02,,,
1-Flowering Plants-137,0.33,0.67,0.97,65346.26,64699.27,44072.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174117.89,,,
1-Flowering Plants-558,0.66,0.67,0.75,40739.62,40336.26,39936.89,27010.73,26743.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174766.80,,,
1-Flowering Plants-553,0.66,0.67,0.65,71007.44,68173.96,39374.40,4873.07,4824.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188253.69,,,
1-Flowering Plants-442,0.66,0.67,0.49,45043.10,38915.97,38530.66,38149.17,37771.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,198410.36,,,
1-Flowering Plants-537,0.66,0.67,0.74,89655.86,67463.82,44999.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202118.99,,,
1-Flowering Plants-426,0.49,0.67,0.31,62350.13,61732.81,61121.59,10126.25,10025.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205356.78,,,
1-Flowering Plants-513,0.49,0.33,0.29,73454.83,72727.56,69340.54,2640.54,2614.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220777.86,,,
1-Flowering Plants-133,0.33,1.00,0.60,91492.98,90587.11,48572.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230652.28,,,
1-Flowering Plants-543,0.49,0.67,0.57,97134.64,67029.61,62037.73,12856.08,9900.17,2800.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251758.85,,,
1-Flowering Plants-173,0.66,0.67,0.14,59035.92,27474.85,27202.83,13730.80,13594.85,13460.25,13326.98,13195.03,13064.38,12935.03,12806.96,12680.16,12554.62,12430.31,12307.24,12185.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281985.61,,,
1-Flowering Plants-168,0.66,0.67,0.59,92807.98,85623.92,81329.98,30026.17,20269.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310057.74,,,
1-Flowering Plants-476,0.66,0.67,0.67,102327.22,101314.08,100310.97,6961.53,6892.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317806.40,,,
1-Flowering Plants-520,0.66,0.67,0.73,113775.70,111267.00,108796.84,27099.28,26830.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,387769.79,,,
1-Flowering Plants-530,0.99,0.33,0.83,131839.14,128905.53,101834.69,22346.75,22125.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,407051.62,,,
1-Flowering Plants-452,0.99,0.67,0.52,130248.73,127501.97,95942.08,34282.88,33943.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421919.10,,,
1-Flowering Plants-455,0.66,1.00,0.27,145790.72,143253.71,141835.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,430879.80,,,
1-Flowering Plants-440,0.49,0.67,0.38,130349.98,129059.39,104054.24,35238.61,34889.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,433591.93,,,
1-Flowering Plants-557,0.66,0.67,0.36,140765.43,137989.52,109253.01,32519.14,32197.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,452724.26,,,
1-Flowering Plants-492,0.66,0.67,0.29,102474.02,85297.75,84453.22,31686.46,31372.73,31062.11,30754.57,30450.07,30148.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,457699.51,,,
1-Flowering Plants-186,0.66,0.67,0.21,100894.62,56417.76,32798.04,19788.42,19592.50,14921.93,14774.19,14627.91,14483.08,14339.68,14197.71,14057.14,13917.96,13780.16,13643.72,13508.63,13374.88,13242.46,13111.34,12981.53,12853.00,12725.74,12599.74,12474.99,0.00,489107.15,,,
1-Flowering Plants-179,0.66,0.67,0.97,147816.51,146352.98,144903.94,26405.38,26143.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,491622.77,,,
1-Flowering Plants-524,0.49,0.67,0.53,132387.33,131076.57,129778.78,49482.10,48992.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,491716.96,,,
1-Flowering Plants-560,0.66,0.67,0.87,78210.41,77436.05,76669.36,42791.74,42368.06,37126.90,36759.31,36395.35,36035.00,35678.22,35324.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,534795.39,,,
1-Flowering Plants-485,0.99,0.67,0.25,157077.07,154101.56,144138.43,54299.92,53762.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,563379.26,,,
1-Flowering Plants-528,0.99,0.67,0.57,175872.57,172674.09,133453.26,41425.15,41015.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,564440.08,,,
1-Flowering Plants-514,0.99,0.67,0.99,170943.84,169251.33,167575.57,41769.17,41355.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590895.51,,,
1-Flowering Plants-517,0.99,0.67,0.24,127049.65,125791.74,117878.91,114071.26,106405.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,591197.41,,,
1-Flowering Plants-127,0.66,0.67,0.49,185904.20,143659.37,108900.20,33006.73,32679.93,32356.37,32036.01,31718.82,31404.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,631666.40,,,
1-Flowering Plants-508,0.49,0.67,0.10,205913.07,203874.33,201855.77,74523.02,73785.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,759951.35,,,
1-Flowering Plants-122,0.66,0.67,0.99,114035.09,94691.46,52996.57,50924.37,50420.16,49920.95,49426.69,47907.78,47433.44,46963.80,46498.82,46038.43,45582.61,45131.29,44684.45,44242.03,43803.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,920701.93,,,
1-Lichens-567,0.49,0.67,0.14,239104.14,235387.85,225043.84,144135.96,142708.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,986380.66,,,
1-Flowering Plants-507,0.49,0.67,0.43,369087.86,365433.52,345813.71,85817.50,52287.89,51770.19,51257.61,50750.11,50247.63,49750.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1472216.14,,,
1-Flowering Plants-519,0.66,0.67,0.52,298762.61,295804.57,292875.81,232837.91,230532.58,221248.55,219057.97,216889.08,214741.66,212615.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2435366.24,,,
1-Flowering Plants-551,0.99,0.67,0.56,592400.30,586534.95,580727.67,574977.89,569285.04,435454.12,431142.69,426873.95,422647.48,418462.85,414319.65,410217.48,406155.92,402134.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6671334.56,,,
1-Flowering Plants-415,0.49,0.67,0.61,1570065.89,1554520.68,1475695.80,1403989.02,1390088.14,1306920.95,1293981.14,1281169.44,1268484.60,1255925.35,1243490.44,1231178.65,1218988.77,1206919.57,1194969.87,1183138.49,1171424.25,1159825.99,1148342.56,1136972.83,0.00,0.00,0.00,0.00,0.00,25696092.42,,,
